Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
6,9898.000000,12,14,3236,1142,442311.5780965851687209537280,2626.793291574055364720145484,168.3846153846154,270.8055045632846,1094,60,4,22,2,10.0.0.5
6,9947.000000,10,12,3092,1022,413592.0378003418116014878858,2211.722127274555142253945913,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11120.000000,10,12,3092,1022,369964.0287769784172661870504,1978.417266187050359712230216,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,8845.000000,14,14,3380,1166,513962.6907857546636517806670,3165.630299604296212549462973,162.35714285714286,261.8188051586323,1094,72,4,26,0,10.0.0.5
6,10169.000000,10,12,3092,1022,404562.8872062149670567410758,2163.437899498475759661716983,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11073.000000,10,12,3092,1022,371534.3628646256660344983293,1986.814774677142599114964328,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10882.000000,10,12,3092,1022,378055.5045028487410402499541,2021.687189854806101819518471,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11228.000000,12,14,3236,1142,389918.0619878874242964018525,2315.639472746704666904168151,168.3846153846154,270.80550456328456,1094,60,4,22,2,10.0.0.5
6,8310.000000,14,12,3380,1022,529723.2250300842358604091456,3128.760529482551143200962696,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,9981.000000,12,14,3236,1166,441037.9721470794509568179541,2604.949403867347961126139665,169.30769230769232,270.45471243683284,1094,72,4,24,0,10.0.0.5
6,8761.000000,12,12,3236,1022,486017.5779020659742038580071,2739.413308982992809040063920,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
